QUANTIDADEDEFEITOS;PLANOMNT;PRIODEF;SEALINSPEÇÃO;GRUPO2DEFEITO;EQUIPEEXECUÇÃO;STATUSEXECUÇÃO
1;ALIMENTADOR;P2;CET01W1;cruzeta;LV;RETIRADA
1;ALIMENTADOR;P2;ODA01C1;poste;LM;RETIRADA
1;ALIMENTADOR;P1;SBN09F1;árvore;NI;PEND F_PRAZO
1;ALIMENTADOR;P2;MAR01C2;cruzeta;LV;RETIRADA
1;ALIMENTADOR;P2;MAR01C2;cruzeta;NI;RETIRADA
1;ALIMENTADOR;P2;SJR01C1;condutor;LV;RETIRADA
1;ALIMENTADOR;P2;BRD01C1;isolador;LV;RETIRADA
1;ALIMENTADOR;P1;SJR01C6;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;MRO01C2;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;MRO01C2;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;MRO01C2;árvore;PO;RETIRADA
1;ALIMENTADOR;P1;SJR01C6;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SJR01C6;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SJR01C6;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;SJR01C6;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SJR01C6;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SJR01C6;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;VLP01C2;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;VLP01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;VLP01C2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SJR01C5;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;BRD01C1;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;BRD01C1;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;BRD01C1;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;BRD01C1;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;BRD01C1;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;BRD01C1;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;BRD01C1;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;BRD01C1;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;BRD01C1;conexão;NI;RETIRADA
1;ALIMENTADOR;P1;SJR01C5;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SJR01C5;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SJR01C5;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SJR01C5;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;SBN01C1;isolador;LV;RETIRADA
1;ALIMENTADOR;P2;SBN01C1;isolador;LV;RETIRADA
1;ALIMENTADOR;P1;SJR01C5;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;SBN09F2;poste;LV;RETIRADA
1;ALIMENTADOR;P1;SJR01C5;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;RSO01C5;condutor;LV;RETIRADA
1;ALIMENTADOR;P2;MRO01C3;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;MRO01C3;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;MRO01C3;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;MRO01C3;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;MRO01C3;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;MRO01C3;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;MRO01C2;árvore;PO;RETIRADA
1;ALIMENTADOR;P1;RNC01C8;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;TRU01C7;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;MAR01C8;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;MRO01C2;árvore;PO;RETIRADA
1;ALIMENTADOR;P1;SBN09F2;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;MAB01C2;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P2;RSO01C2;árvore;PO;RETIRADA
1;ALIMENTADOR;P1;IPS01C5;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;IPS01C5;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;IPS01C5;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;RSO09S1;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;RSO09S1;árvore;PO;RETIRADA
1;ALIMENTADOR;P2;RSO09S1;árvore;PO;RETIRADA
1;ALIMENTADOR;P1;IPS01C5;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;CHT01C2;isolador;LV;RETIRADA
1;ALIMENTADOR;P1;IPS01C5;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P2;FQL01C3;poste;LM;RETIRADA
1;ALIMENTADOR;P2;FQL01C3;poste;LM;RETIRADA
1;ALIMENTADOR;P2;FQL01C3;poste;LM;RETIRADA
1;ALIMENTADOR;P2;FQL01C3;poste;LM;RETIRADA
1;ALIMENTADOR;P2;FQL01C3;poste;LM;RETIRADA
1;ALIMENTADOR;P1;IPS01C5;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;FLP01C6;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;MAR01C1;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;SJR01C2;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;SJR01C2;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;SJR01C2;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P2;MAR01C2;chave;LV;RETIRADA
1;ALIMENTADOR;P2;SJR01C1;chave;LV;RETIRADA
1;ALIMENTADOR;P1;SJR01C2;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;SJR01C2;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;ARG01C2;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P2;FQL01C5;chave;LV;RETIRADA
1;ALIMENTADOR;P1;ARG01C2;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;SMC01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SMC01C1;árvore;NI;PEND F_PRAZO
1;ALIMENTADOR;P1;SMC01C1;árvore;NI;PEND F_PRAZO
1;ALIMENTADOR;P1;SMC01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SMC01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;MAB01C4;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01C1;árvore;NI;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SLF01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;SMC01C3;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P2;STT01C5;condutor;LV;RETIRADA
1;ALIMENTADOR;P2;STT01C5;isolador;LV;RETIRADA
1;ALIMENTADOR;P2;SLF01C5;cruzeta;LV;RETIRADA
1;ALIMENTADOR;P1;SMC01C3;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;SMC01C3;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P2;ODA01C1;condutor;LV;RETIRADA
1;ALIMENTADOR;P2;CDO01C7;cruzeta;LV;RETIRADA
1;ALIMENTADOR;P1;FQL01C6;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P1;SJR01C4;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P2;ARG01C4;chave;LV;RETIRADA
1;ALIMENTADOR;P2;ARG01C4;equipamento;EQ;RETIRADA
1;ALIMENTADOR;P2;CDO01C8;chave;LV;RETIRADA
1;ALIMENTADOR;P1;SJR01C4;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P2;MAR01C7;cruzeta;LV;RETIRADA
1;ALIMENTADOR;P1;ODA01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;ODA01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;ODA01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;ODA01C1;árvore;NI;PEND F_PRAZO
1;ALIMENTADOR;A;LNC01C5;condutor;LV;ACOMPANHAR
1;ALIMENTADOR;P2;LNC01C5;condutor;LV;PEND F_PRAZO
1;ALIMENTADOR;P2;LNC01C5;condutor;LM;PEND F_PRAZO
1;ALIMENTADOR;A;LNC01C5;condutor;LV;ACOMPANHAR
1;ALIMENTADOR;P1;ODA01C1;árvore;LV;PEND F_PRAZO
1;ALIMENTADOR;P2;LNC01C5;cruzeta;LV;RETIRADA
1;ALIMENTADOR;P1;ODA01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;ODA01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;A;LNC01C5;poste;LV;ACOMPANHAR
1;ALIMENTADOR;P2;LNC01C5;isolador;LM;PEND F_PRAZO
1;ALIMENTADOR;P2;BRN01C4;poste;LV;PEND F_PRAZO
1;ALIMENTADOR;A;BRN01C4;condutor;LV;ACOMPANHAR
1;ALIMENTADOR;P1;ODA01C1;árvore;PO;PEND F_PRAZO
1;ALIMENTADOR;P1;TRU01C1;árvore;LV;PEND F_PRAZO
